TSNE_1,TSNE_2,TSNE_3,genre
-7.531846,-24.907255,16.875763,4
5.6767993,12.990942,9.168717,2
-21.623747,6.953266,-9.130245,3
-17.342978,-23.89835,1.421531,2
30.952682,10.91497,-31.818785,3
-16.818085,13.929655,2.5967805,6
0.1787282,-9.232379,-11.192962,2
-6.2981043,13.533305,14.638326,3
-35.480343,-8.506089,-2.682464,1
-10.168544,8.632607,0.13730179,6
26.899351,8.361449,-2.203402,7
-14.335397,10.936041,-19.5885,2
4.2986603,37.167442,13.670268,3
22.09317,-3.2279093,26.992443,2
-17.514456,-3.4649363,16.076262,1
-22.816582,-5.3190775,-9.59183,4
41.15834,-0.33150724,1.8811888,1
28.30101,5.0164547,11.190605,0
14.162341,12.928619,35.858746,2
-36.636646,-3.9028134,26.466074,9
23.442719,-5.135648,-28.446608,3
24.30232,9.659944,-22.05099,5
-18.181396,10.20243,5.082025,0
-0.92962885,17.295778,1.2957888,0
-14.929734,-30.520233,-25.246847,7
8.436914,-12.969489,22.17158,3
-32.1154,-3.8729334,-8.436613,5
29.618023,-8.54014,16.047602,4
-5.787156,17.13032,-27.02812,1
13.666923,-14.609472,-21.876247,7
-11.755925,-2.9920874,15.765084,7
-22.530977,12.804521,-27.20183,6
-8.964774,31.745504,8.229753,5
15.299847,-26.650055,4.5190034,1
-29.060278,18.249449,-8.692323,7
21.037802,-1.5260973,-24.354118,9
25.956558,31.809917,-5.484353,9
25.794256,23.019104,-19.724072,7
29.568592,-10.516,-6.8147974,1
6.0285707,-11.103906,5.8231225,7
5.258807,-0.7269777,-37.907314,5
-13.461021,-17.916483,27.171764,4
-22.011538,14.874302,8.560345,6
-34.10826,-6.48549,-23.802937,4
0.35518095,3.841043,-21.685667,6
-3.866518,19.311441,9.411507,8
-5.4484735,20.835833,4.2183895,3
4.74632,-9.806707,-17.984055,0
-19.16367,-16.176237,19.15208,7
-1.0247991,-21.92573,13.837842,2
0.43769488,22.346874,-4.68219,3
-3.7404304,12.102483,26.308043,5
0.84788275,3.2657773,-10.668743,8
-19.216017,18.847536,-20.335447,1
-13.840201,-30.128605,-22.581125,2
-2.1332955,19.221603,-32.537254,1
20.42008,14.557192,20.814075,9
-20.899277,-31.462805,10.024307,3
-22.252913,-23.974384,-2.5075047,3
29.623743,2.6269305,21.165737,7
21.2128,-10.207461,-2.4034758,4
-15.117212,-7.593995,-34.6558,1
-11.207882,-27.52166,11.835252,3
9.497119,10.090124,-25.570124,9
-13.590944,11.057092,-9.521723,5
8.508977,-6.0988073,-21.988699,0
21.468697,-6.4307866,-17.771166,8
-2.5032508,12.990084,-22.02051,3
14.482884,18.354822,-25.28244,7
-8.500048,-23.683586,-12.32425,1
28.514032,29.074522,-6.618176,1
19.544426,-14.19552,29.656305,2
8.70533,-25.380156,25.87092,1
-27.476229,-19.908241,7.487397,6
20.06448,-11.271891,-13.668473,4
-24.129694,-5.3451347,22.065165,5
19.762585,-23.70142,15.249085,0
9.689057,-6.8737693,-16.781061,7
-1.9331855,-32.69884,17.542135,7
4.60355,2.8192818,17.632055,2
4.6140246,-22.623055,29.969597,8
-5.116194,23.165855,7.543547,9
1.1885847,-25.375204,21.174124,7
-1.0869493,12.912162,3.725507,5
15.063095,31.299965,-0.9108005,1
13.58958,30.970783,-4.4433746,4
-21.149555,7.7929864,10.819588,1
-1.1200244,8.427012,-3.3809474,3
28.514032,29.074522,-6.618176,1
-22.302979,21.367325,-7.4943247,4
-3.344395,-28.34109,11.266118,7
6.8321385,-1.4411273,-40.527874,0
-6.6204486,0.7315058,-12.990237,7
30.599108,7.9842114,-3.2646732,5
-13.381588,22.233644,1.3015668,8
-15.691758,33.484932,-12.853808,8
-15.117212,-7.593995,-34.6558,1
16.609156,-5.023482,24.012821,1
9.7531,-15.774234,14.672545,0
-2.6617634,26.295671,4.736074,1
18.22488,10.101878,-18.14217,4
-10.306372,31.921389,-8.41232,1
12.03698,-5.435566,18.091883,7
-34.80596,-3.914177,-20.649666,1
-0.72605646,7.2006416,-38.070023,8
-1.5151792,-29.701937,-1.4615276,9
17.91895,10.998559,18.845436,9
-7.515263,7.735204,-30.20173,8
23.054052,17.776228,7.4315414,8
-7.2016034,1.9053433,-4.682316,2
-1.8184214,3.811692,7.4300027,0
35.788788,3.4887462,-3.6819885,5
-2.5118253,-17.041435,20.633854,2
26.934826,-6.484336,12.646655,1
-10.97303,-31.225758,9.595521,0
-15.194278,-18.939554,10.510195,2
4.1761622,23.621302,31.17199,6
5.209843,-5.210829,-2.7435539,5
-0.67304313,5.0787964,-6.0743666,1
-10.79349,2.4687083,13.690665,3
4.501662,12.055641,-9.380694,8
13.096961,-15.423464,-14.46606,3
11.559103,35.354824,12.0719595,8
13.346312,22.534222,-33.62935,9
4.7177715,9.582759,12.213663,1
-6.278125,7.82532,-10.644183,2
0.12147686,-29.468117,15.283288,2
-14.36794,17.123604,14.240007,6
9.91419,-4.196211,-0.6244472,7
3.294624,-15.013216,-22.788372,9
37.445312,-4.643171,-10.907312,9
-33.93788,18.959635,1.4421808,5
29.570295,5.676072,8.881745,0
-7.87514,-25.160048,9.70534,4
22.354666,4.6024456,-11.4470825,8
-18.622196,7.817862,-13.5523205,2
-9.131746,32.383556,-14.658211,7
-16.919653,19.314734,-16.970333,5
20.12553,-5.8195643,-25.472088,2
9.98832,5.6330705,-10.815553,3
22.467577,4.2721014,-22.67092,5
15.378406,4.918216,-3.7132578,5
19.897877,-12.701906,13.102148,4
17.880684,12.627636,16.724272,9
13.069942,-6.2916465,26.607069,2
-24.335976,-10.546465,26.630709,5
-13.300612,6.1766996,3.3558505,1
-1.8317624,7.230869,16.762259,5
20.285585,-21.591959,-8.116386,4
9.527852,-17.81296,10.672549,9
-7.949463,-17.320126,-11.316748,6
2.392763,20.31464,4.4627337,2
-18.09409,0.87326604,33.42161,4
-4.8505473,-10.968413,13.635472,0
5.0640626,-28.770864,-7.8944077,5
0.21282865,-25.017323,16.7432,7
19.843283,-11.874015,-0.3465342,6
13.871105,-23.327227,2.560282,8
-34.818558,1.1597131,-3.1030424,8
-4.143615,24.320307,11.02777,5
17.906073,-8.425249,-17.69856,8
35.854927,-0.13519698,-7.707772,9
-18.445797,11.043052,-37.30042,0
3.0787697,-8.492092,8.198329,3
3.0091505,-25.723948,2.4288087,2
0.9259764,28.24727,4.11582,0
-7.974071,-38.51623,-12.647486,9
14.650108,1.8002601,-9.294557,5
-18.965384,20.521286,9.738454,9
16.404737,-29.37199,7.615445,0
15.194854,-11.162929,-26.40472,5
-0.3403248,31.962027,1.9829682,8
-4.537068,18.44056,-10.659116,6
-1.6780814,-7.563529,4.3793817,1
3.391149,4.3145714,-28.448944,0
-28.24446,22.135199,5.316691,5
-1.6499124,-11.904752,26.778425,0
-15.688071,24.627693,-17.311771,6
32.769257,6.4637647,-2.1165466,7
28.638962,21.19864,-1.3592722,4
2.5644104,1.588886,13.151492,1
15.271388,11.922202,-28.293457,7
4.8124037,7.2455535,5.445624,6
-0.2409844,25.68894,12.560614,5
-27.124836,-3.7229383,5.7100644,4
-11.560623,13.027918,22.632776,7
-10.895464,-4.6139164,-27.337435,0
-4.37644,23.457935,29.26906,9
-12.637473,-21.776213,27.505913,3
-17.62202,1.8395141,15.851901,4
-7.892124,-10.855241,20.397087,5
1.4250067,21.09998,30.614424,7
22.627306,2.5886881,-26.370201,5
-8.794956,7.5820007,-4.531979,1
-1.1792012,11.033192,-32.278423,1
8.855462,26.463547,-13.799806,6
-22.815792,-27.420355,-3.2115378,4
-6.167031,5.2671294,-37.62063,4
28.906755,-15.300073,-5.6428747,9
-16.408005,9.072943,17.973726,4
26.21734,-3.231624,25.249033,6
-21.678705,-3.5780365,-3.8209834,8
-21.978014,15.949506,-26.160501,0
28.920462,-5.4680433,24.462788,0
21.309431,-13.155111,-24.483595,2
-18.194994,-17.015774,16.16114,0
4.715468,-12.564417,-5.0386925,7
-5.35946,30.42353,13.600528,0
7.3054495,31.937767,-6.865635,0
-30.36421,-19.746025,4.882688,7
13.888254,-7.6238647,30.083477,7
1.7934597,-2.7567482,30.894714,6
13.385906,17.343523,34.797604,4
33.247612,-8.5162,-6.678746,5
-37.379337,-1.3296468,26.321712,9
-13.190845,-0.737475,-22.973341,1
20.32297,-16.021812,-34.374107,5
-18.516056,10.171636,-2.9449918,0
5.033618,15.935245,-23.936546,7
15.051804,19.904665,25.756529,6
10.113409,11.095979,25.787228,0
-20.027405,-20.11437,-17.737316,0
-7.6159353,34.55127,-9.506056,6
-12.471482,2.141806,-7.553299,1
-9.355171,-12.314377,-8.274663,2
22.847612,-15.625227,1.8385749,6
3.011687,-32.452946,-7.7229247,5
12.391494,14.305313,-26.201344,9
-29.358568,-7.937746,11.218346,2
-4.7912493,22.713581,26.742146,9
-27.842981,-1.3729019,-8.311269,2
-12.752776,-9.278142,-14.542404,6
-12.79071,-22.798824,-12.910648,9
15.137574,-11.730394,-17.56798,2
26.867641,-19.079407,-25.809723,6
-31.269775,20.478071,3.7457025,6
41.15834,-0.33150724,1.8811888,1
-12.173749,-24.930971,5.1677165,0
23.096672,-19.151993,3.9737566,2
-21.107386,-19.302567,-1.8666515,3
11.165058,-8.007167,2.2615874,6
2.5507772,33.349407,-8.093199,4
-11.507166,-33.295532,-26.411615,8
-3.336278,-32.048893,-2.976382,5
-24.01866,-6.8769174,-2.312526,5
15.138721,-6.4297605,-15.908795,6
34.431057,1.78906,-13.035603,0
1.9189005,-24.156853,-7.0793233,3
20.089785,-24.027832,-24.073092,3
-22.78657,11.5927305,12.947763,1
1.0136199,3.1499405,-16.231466,2
12.409592,1.1969407,-12.093849,7
16.64401,22.392656,26.74788,6
12.370288,0.55836934,28.15167,2
-15.576602,-2.5927746,1.7148834,4
12.5692835,12.327249,23.365955,9
-6.901964,-42.17966,15.128867,7
-11.523294,12.276842,-21.859913,8
41.64967,-0.25974846,6.890072,8
-16.469057,14.979726,-11.035845,6
0.69606364,-1.2908318,-0.7820325,2
-4.6638575,19.892012,-28.349493,6
24.865559,-2.6447952,-1.6102593,5
5.879438,-8.936635,-21.29427,1
-21.32498,13.152482,-2.8904462,7
-5.3889766,-11.700996,-16.863403,5
7.3183455,10.1117,-16.15328,8
24.341995,14.20636,-4.2334347,0
-26.3223,-13.829983,15.028167,8
-15.206843,-10.389897,4.8820667,7
17.736155,26.456512,-25.644463,2
4.944461,-27.850883,-11.753646,5
-2.0104961,2.9587657,-27.393099,2
7.608475,-18.068645,1.4177649,3
12.779557,3.7732525,40.151894,9
-14.938852,15.720344,10.75893,2
2.5830655,-32.54857,18.562843,6
-26.560905,2.333597,-1.1458682,0
11.623478,-11.30497,-8.290069,4
-1.8937409,12.722643,20.669079,1
2.7926807,2.3016279,21.280035,6
-41.80005,4.211387,-9.4140415,6
33.593742,11.90965,-9.690035,8
14.11704,6.5351787,-36.520977,4
-14.194193,4.2951627,16.07785,9
24.255367,-17.676306,-24.724686,7
-8.051138,4.209284,-16.454327,0
-22.590242,-24.464066,10.7466755,2
19.380005,-13.216437,-32.18741,2
1.8221501,20.8753,-0.06253789,2
0.6940944,-18.897299,16.874695,1
20.372433,22.814331,10.687784,8
-2.5065165,-6.2663803,-9.243809,3
-11.118781,-19.582466,-31.605776,0
