TSNE_1,TSNE_2,TSNE_3,genre
-5.9243937,-1.7386243,5.5289035,4
-8.568893,-5.7853255,4.591673,2
-5.6183457,-12.431746,0.80607045,3
-10.346687,-14.7934265,3.2231944,2
-8.044891,-12.927318,-0.7557669,3
-2.6571794,-5.3801746,-1.3371037,6
-4.58854,20.326927,1.3312743,2
-8.180279,-10.348604,-10.240385,3
-18.483076,-5.2573376,-1.2735667,1
-2.8784528,-2.3227737,3.0572612,6
-14.622966,-17.290762,2.679267,7
7.446948,20.76272,-2.0060358,2
9.97382,0.9978891,-5.291071,3
-13.056458,-11.0012455,-2.4523776,2
-17.767149,-13.053847,-0.5291857,1
2.3017128,9.243979,5.201493,4
-16.075222,-16.446365,-4.336672,1
12.001076,16.080576,1.9807882,0
5.61296,9.736017,6.5190477,2
13.03751,-6.396916,-6.036791,9
-0.51588506,-4.0381227,-0.6040003,3
22.213713,1.6444813,0.91702926,5
4.547672,12.43144,-5.531691,0
2.6512687,17.815313,-2.1134927,0
-5.476324,21.506275,-0.3824323,7
-1.0556736,-0.63190013,9.151221,3
21.340433,-0.74694824,3.5994134,5
-10.170685,2.8370574,-0.9658791,4
-17.269482,-6.732225,-3.0231955,1
-14.4471245,-14.069116,1.1375862,7
-19.934978,-3.7588897,-1.9958574,7
3.568647,-6.844535,-5.1499357,6
14.658456,-10.432805,-1.9245104,5
-17.78944,-9.8241005,-4.623157,1
-8.171054,3.646086,-1.7192585,7
10.999207,-0.58772296,-4.128139,9
5.592739,12.494291,7.370692,9
-3.6626973,10.050947,7.859822,7
-14.582545,-6.4102387,3.010429,1
-16.092295,-2.558359,-2.2808163,7
18.73865,-7.368883,-1.7781862,5
7.8878946,19.682901,-3.5074482,4
-2.9116895,-12.538651,-6.180792,6
3.905228,7.92299,-5.1786594,4
-8.659453,-19.190876,-5.3661613,6
13.933267,6.7194176,-1.7353221,8
-0.47575253,-0.51932836,9.38427,3
4.8120346,11.614903,-4.102549,0
-4.724926,10.074398,7.0633283,7
3.9354277,24.210958,1.307118,2
6.0166893,-15.578971,6.1111116,3
17.854488,-5.6502924,0.79021925,5
5.237661,4.965622,2.5440936,8
-16.310263,-7.0429115,3.419157,1
-3.3869233,14.974353,0.3940505,2
-23.719633,-10.794448,-0.86956435,1
9.711834,-9.097445,-0.8976609,9
-5.7594547,-14.515464,-10.858999,3
7.929401,-15.122059,8.383163,3
-3.9596927,12.713127,1.974174,7
-8.648412,3.1561542,-0.46444094,4
-15.595197,-19.072311,-2.6498082,1
9.208377,-13.040651,-1.2893128,3
3.550193,-2.0384674,2.942031,9
16.370367,4.4905567,0.6788834,5
-0.09916693,22.743988,-4.3737993,0
2.4651146,-0.44324636,2.0989096,8
-7.8977494,-5.043792,-1.3287648,3
-18.784279,-1.8827101,-0.01363524,7
-22.659523,-8.949128,0.5402585,1
-13.970624,-17.597439,-4.588024,1
-4.139993,16.20114,4.8221416,2
-13.374954,-13.080375,-8.469558,1
12.269634,8.750947,-0.46286026,6
-0.7355446,-2.8210714,-0.04727978,4
21.652243,-3.5288513,-4.5275035,5
-0.2876736,17.388319,-1.3083984,0
-16.102291,-3.6686256,-2.6279411,7
-2.6175663,22.328173,0.10302291,7
-5.877045,-11.444829,-0.59491706,2
6.3222265,6.7207613,3.1126056,8
11.355943,4.031468,0.20258379,9
0.4495339,18.52488,3.8830326,7
7.973646,2.6014926,4.514508,5
-6.556655,-2.836941,-3.0500202,1
-1.6521466,21.021267,4.367197,4
-21.29893,-8.069486,2.0779338,1
-0.24537094,-4.5964856,-1.4406477,3
-13.970739,-17.596943,-4.58832,1
-3.0787444,-4.4395566,0.11416352,4
3.9516952,16.890158,7.752257,7
-2.607095,16.996922,-4.76583,0
-2.8300898,25.562614,2.6534207,7
21.581207,2.0221326,-4.133106,5
11.860074,-1.4867532,4.689694,8
-4.1693635,-9.307647,-1.8166317,8
-15.595157,-19.072287,-2.6497648,1
-17.944618,-10.248141,-1.9429306,1
0.062159266,22.363716,7.557767,0
-18.315645,-11.53896,-1.633832,1
13.669513,2.763772,6.195713,4
-16.306334,-10.87347,-4.0478215,1
-8.992799,-9.5986185,0.57486737,7
-13.145705,-15.538308,-2.627896,1
-1.3830632,18.774767,7.537121,8
6.116083,12.9797735,7.978872,9
6.2389174,-7.370963,-2.0694733,9
-3.4689229,-13.744875,-2.8091836,8
12.778248,1.0594857,-1.0128882,8
0.16228193,23.041637,3.310785,2
6.7872524,11.462239,-1.934461,0
14.408956,-4.5476274,1.6692432,5
3.915759,11.89287,4.552332,2
-12.138696,-11.654705,-3.0697312,1
1.1654587,19.998703,1.7557282,0
-3.8082964,-13.872388,-2.833912,2
-1.7546065,18.709715,2.0471985,6
19.354822,-7.4726043,-4.214568,5
-19.737373,-11.862924,-2.4478254,1
11.659778,-11.597434,-0.8765823,3
-2.097527,-7.297304,4.005954,8
0.82374465,-3.6664705,3.9580405,3
6.9396167,-9.088767,2.4240866,8
12.320668,8.240357,0.9165513,9
-15.056259,-6.5896263,2.3453245,1
-19.562716,-3.2447834,0.63617927,2
0.2707199,17.103552,-4.4312043,2
12.551469,8.738588,-1.0749363,6
-4.556439,16.684397,4.352324,7
15.023783,-5.493141,-3.1588602,9
12.252868,-10.528368,2.7635584,9
14.291807,-8.681181,-1.7794198,5
12.000667,16.08046,1.980464,0
-9.199432,3.4433506,0.2891018,4
4.0451794,8.117075,-6.303864,8
-7.4013233,-7.0470233,5.732003,2
-7.3836665,-6.472896,-5.3134065,7
15.809149,-7.1597404,5.5651774,5
7.2588954,19.664156,-2.54303,2
8.400466,-11.511277,0.6974192,3
0.46951512,3.7172415,3.1618588,5
7.858101,5.419498,3.7010038,5
0.076265,2.8672924,2.5634816,4
5.8544545,-7.4901314,-2.0915864,9
-12.459939,-12.674352,0.3925422,2
18.48717,-7.900186,-2.1823466,5
-23.59005,-9.252168,0.5898419,1
17.548235,-8.425047,-0.8591279,5
14.6072445,5.661019,-2.9428976,4
7.9879003,17.142548,-1.3442285,9
-0.31201872,-10.428294,7.758256,6
-7.502512,-2.1179283,0.3651355,2
-2.6497655,10.659006,-4.1552143,4
6.1080337,4.799919,-6.304826,0
18.952559,-3.9762154,0.81558603,5
-14.92478,-4.35839,-2.3915768,7
-2.4136586,-4.56354,-8.450892,6
-2.2371535,17.821287,8.499041,8
-2.6973748,-2.5611818,-0.52030313,8
16.591576,-7.401483,0.0728575,5
4.132696,-15.024448,4.003071,8
11.25339,-7.051053,-2.943206,9
5.0608106,18.639507,2.6995306,0
-5.292458,-16.223185,-10.624092,3
-7.415352,-11.315284,-1.52644,2
3.0486844,20.783016,-4.4373407,0
17.32636,-4.083153,-2.5825279,9
21.349104,-0.36939362,-2.403655,5
17.575323,-7.490788,-3.571951,9
4.1506333,23.411905,1.8425795,0
22.311369,-0.85740685,3.2533538,5
4.218156,9.389278,9.082832,8
7.7829933,-3.581179,-4.049201,6
-18.87982,-11.070112,-0.40404788,1
4.1004834,19.094862,3.2472715,0
22.796335,-1.722288,-2.2227106,5
-5.1158376,14.329923,1.4339068,0
-0.30923164,-10.439326,7.7760935,6
-13.285529,-6.9807444,2.608965,7
-2.941585,6.2530265,5.3457475,4
-15.656291,-7.122461,1.0065444,1
7.4690623,17.146294,-4.2185955,7
-8.340919,-9.724871,-9.708473,6
18.153564,-2.0528295,0.14059551,5
-2.5266123,7.947106,2.126886,4
-1.097764,17.30998,-5.263897,7
3.112607,20.277058,-5.567969,0
14.694435,-1.3561755,-2.2224288,9
10.376239,-9.004076,-4.5518208,3
-14.48897,-4.018042,1.8437092,4
23.078033,-2.5054255,-2.7350612,5
6.5474753,6.7386146,0.7360344,7
17.951597,-7.5618258,4.1480284,5
-19.35316,-6.15222,-1.4456596,1
-18.043425,-7.9682875,0.10316816,1
6.623372,8.021925,1.7143112,6
2.5067775,3.4232724,1.8722639,4
-2.7877119,-3.5966911,0.68633276,4
-1.9913003,4.199291,0.120841585,9
2.2862797,15.311426,-5.459962,4
-2.323144,-9.723731,-6.1483374,6
9.704939,-4.5166106,-1.414748,8
8.970674,5.8877525,-2.9698415,0
-1.5440639,22.619246,-1.2540147,0
