iter	MultiClass
0	2.23304366
1	2.159744441
2	2.101171688
3	2.053162174
4	2.003944839
5	1.958127728
6	1.917045843
7	1.867636953
8	1.819233748
9	1.786573025
10	1.747152467
11	1.718447904
12	1.68540457
13	1.658706529
14	1.629855406
15	1.601054838
16	1.576283291
17	1.555453729
18	1.540417039
19	1.519475895
20	1.494338789
21	1.47169638
22	1.452477127
23	1.434427284
24	1.419798268
25	1.397709182
26	1.382711992
27	1.367200236
28	1.35201228
29	1.337437895
30	1.323746286
31	1.311027385
32	1.297667447
33	1.286755981
34	1.274279351
35	1.262351663
36	1.254622134
37	1.242292897
38	1.231567505
39	1.219504117
40	1.208555742
41	1.19764809
42	1.192589423
43	1.184945394
44	1.175167144
45	1.164076756
46	1.156495854
47	1.146112316
48	1.142227364
49	1.135736871
50	1.127768687
51	1.12066212
52	1.116504357
53	1.107034771
54	1.098385562
55	1.091592336
56	1.082321393
57	1.072160209
58	1.068047275
59	1.063617262
60	1.05536197
61	1.044350431
62	1.037091408
63	1.029933877
64	1.022370197
65	1.015936823
66	1.010647422
67	1.00742574
68	1.00148618
69	0.9951421674
70	0.9888488252
71	0.982271351
72	0.9734469399
73	0.9665415576
74	0.9597240098
75	0.9530603412
76	0.95030898
77	0.9459765175
78	0.9400828828
79	0.9340970194
80	0.9290968228
81	0.926116664
82	0.9226110894
83	0.9172324141
84	0.9125566849
85	0.9081115326
86	0.9040743246
87	0.9002195083
88	0.8926544084
89	0.8882789304
90	0.8844782022
91	0.8791018344
92	0.8766291591
93	0.8711958205
94	0.8664141197
95	0.860138739
96	0.8574036732
97	0.8517306457
98	0.8471873121
99	0.8433433971
100	0.8396174581
101	0.8351281827
102	0.8309495347
103	0.8270445527
104	0.8253312601
105	0.8210214656
106	0.8180376384
107	0.8142090962
108	0.8095205281
109	0.804686315
110	0.80007213
111	0.7961566674
112	0.7899641422
113	0.7854325297
114	0.7807684534
115	0.7776783607
116	0.7747406867
117	0.7690198733
118	0.7653234713
119	0.7610570931
120	0.7565531965
121	0.7534317566
122	0.7498966931
123	0.7471870716
124	0.7455189242
125	0.7422390973
126	0.7379517884
127	0.7355523516
128	0.7330100898
129	0.7296059738
130	0.7257250066
131	0.7239593323
132	0.7190141435
133	0.7171593046
134	0.7129337775
135	0.7095832521
136	0.7055453145
