iter	Passed	Remaining
0	7	3882
1	12	3013
2	16	2756
3	21	2695
4	26	2637
5	38	3136
6	49	3466
7	55	3394
8	60	3317
9	66	3239
10	72	3228
11	78	3212
12	84	3175
13	90	3151
14	96	3128
15	101	3077
16	106	3029
17	114	3072
18	124	3162
19	133	3193
20	144	3297
21	168	3654
22	180	3733
23	191	3788
24	199	3785
25	205	3744
26	213	3732
27	220	3717
28	228	3719
29	236	3703
30	242	3675
31	249	3647
32	256	3626
33	260	3574
34	265	3528
35	274	3539
36	287	3600
37	319	3880
38	331	3913
39	344	3960
40	350	3925
41	357	3897
42	364	3878
43	371	3854
44	379	3832
45	386	3816
46	399	3849
47	408	3843
48	425	3916
49	440	3966
50	453	3993
51	466	4018
52	473	3993
53	478	3953
54	486	3939
55	494	3923
56	500	3889
57	511	3900
58	544	4066
59	557	4086
60	563	4053
61	573	4052
62	584	4056
63	592	4038
64	629	4210
65	687	4523
66	698	4515
67	721	4583
68	732	4577
69	746	4585
70	753	4550
71	842	5009
72	852	4985
73	861	4960
74	868	4920
75	875	4886
76	882	4850
77	889	4811
78	895	4774
79	901	4735
80	906	4691
81	913	4659
82	919	4617
83	926	4587
84	933	4560
85	941	4530
86	949	4509
87	964	4515
88	979	4521
89	988	4502
90	993	4465
91	999	4431
92	1006	4406
93	1013	4379
94	1021	4352
95	1026	4319
96	1030	4282
97	1038	4260
98	1045	4234
99	1055	4220
100	1063	4199
101	1069	4175
102	1077	4154
103	1085	4133
104	1093	4113
105	1100	4088
106	1107	4068
107	1115	4047
108	1119	4017
109	1127	3998
110	1176	4124
111	1232	4270
112	1241	4252
113	1247	4224
114	1253	4196
115	1276	4226
116	1284	4206
117	1291	4179
118	1301	4166
119	1308	4144
120	1315	4119
121	1322	4098
122	1340	4107
123	1356	4114
124	1367	4102
125	1379	4094
126	1393	4092
127	1406	4088
128	1416	4073
129	1424	4054
130	1447	4076
131	1458	4066
132	1474	4068
133	1483	4051
134	1489	4027
135	1497	4007
136	1509	3998
137	1537	4033
138	1545	4014
139	1565	4025
140	1573	4006
141	1581	3986
142	1588	3965
143	1592	3937
144	1607	3936
145	1618	3924
146	1626	3906
147	1633	3884
148	1637	3857
149	1643	3835
150	1650	3815
151	1656	3792
152	1660	3767
153	1665	3740
154	1669	3716
155	1676	3697
156	1682	3676
157	1689	3656
158	1695	3635
159	1699	3612
160	1706	3592
161	1713	3575
162	1720	3557
163	1727	3540
164	1735	3522
165	1740	3502
166	1747	3485
167	1752	3462
168	1756	3440
169	1760	3417
170	1766	3399
171	1771	3377
172	1784	3373
173	1850	3467
174	1860	3455
175	1896	3490
176	1916	3497
177	1936	3502
178	1944	3486
179	1950	3467
180	1954	3445
181	1959	3423
182	1965	3405
183	1970	3383
184	1975	3363
185	1979	3341
186	1983	3319
187	1991	3304
188	1997	3287
189	2010	3279
190	2017	3264
191	2024	3247
192	2029	3228
193	2034	3209
194	2040	3192
195	2047	3175
196	2054	3160
197	2061	3144
198	2079	3144
199	2141	3211
200	2150	3198
201	2179	3215
202	2189	3203
203	2216	3215
204	2224	3200
205	2233	3187
206	2240	3170
207	2251	3160
208	2259	3145
209	2265	3129
210	2272	3112
211	2294	3116
212	2311	3114
213	2404	3213
214	2509	3327
